Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
IL,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,12821497,246,3.5,1.17,6.4,0,246,7.4,4.23,10.9,0,244,3.4,1.3,6.12,0,249,2,0.58,3.71,0,469,5.1,3.01,7.38,0,516,4.8,2.44,7.08,0,985,4.9,3.4,6.65,0,628253,435931,852630,true,false
IN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6637426,12,777,,,,501,5,2.63,7.71,0,197,0.9,0,3.07,1,196,5.4,0,14.17,1,180,2.9,0.45,6.11,0,726,3.2,1.69,5.18,0,906,3.1,1.53,4.76,0,205760,101553,315941,false,true
KS,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,2908776,252,2.1,0.28,4.3,0,252,6,2.51,9.99,0,254,3.4,0.74,6.92,0,255,0.4,0,1.41,1,408,4.4,1.71,7.11,0,608,3,1.08,5.04,0,1016,3.7,2.02,5.47,0,107625,58757,159110,true,true
KY,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,4440204,245,4.2,1.7,6.94,0,244,3.5,1.47,6.03,0,368,2.8,1.07,4.85,0,269,1,0,2.58,1,510,4.1,2.26,6.08,0,616,2.1,0.89,3.81,0,1126,3.1,2.05,4.49,0,137646,91024,199365,true,true
LA,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,4663616,235,12.2,7.68,17.67,0,249,11,6.84,16.36,0,252,16.7,10.74,23.6,0,253,6.8,3.46,11.33,0,402,10.4,7,14.49,0,587,13.2,9.31,17.57,0,989,11.8,9.27,14.81,0,550307,432317,690682,true,false
MA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,6830193,243,4.2,1.69,7.37,0,246,4.6,2.14,7.84,0,246,2.4,0.48,4.7,0,245,2.1,0.34,4.47,0,422,4.4,2.22,6.78,0,558,3,1.49,4.97,0,980,3.7,2.27,5.21,0,252717,155045,355853,true,false
MD,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,6003435,63,777,,,,380,7.9,5.3,11,0,349,4.6,2.33,7.26,0,382,3.8,1.88,6.1,0,476,7.9,4.22,11.37,0,698,6.2,3.78,8.98,0,1174,7,4.92,9.33,0,420240,295369,560120,true,false
ME,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1332813,15,777,,,,230,1.4,0,3.63,1,174,0,0,2.1,2,190,0.2,0,1.02,1,239,0,0,1.53,2,370,1.2,0,2.82,1,609,0.6,0,1.44,1,7997,0,19193,false,true
MI,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,9957488,247,6,3.09,9.18,0,245,3.9,1.39,6.81,0,245,3.9,1.47,7.17,0,246,2.7,0.79,4.86,0,427,4.8,2.62,7.37,0,556,3.5,1.8,5.52,0,983,4.2,2.88,5.76,0,418214,286776,573551,true,false
MN,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,5527358,163,2.3,0.38,4.8,0,249,5.6,3,8.5,0,280,5.3,2.65,7.98,0,286,3.6,1.5,6.03,0,432,4.3,2.49,6.41,0,546,4.6,2.85,6.68,0,978,4.5,3.05,5.87,0,248731,168584,324456,true,false
MO,"Aug 12 - Aug 21, 2020",2,Statewide,Statewide,6090062,253,3.7,1.3,6.63,0,247,4.3,1.85,7.45,0,260,3.1,1.26,5.34,0,257,1.6,0,3.77,1,427,2.8,1.11,5.15,0,594,4.1,2.24,6.23,0,1021,3.5,2.23,5.06,0,213152,135808,308157,true,true
MS,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,2988762,25,777,,,,315,13,8.64,17.97,0,314,9.1,5.65,13.25,0,314,3.1,1.16,5.95,0,416,8.1,4.6,12.8,0,552,11.8,6.69,19.81,0,968,10,6.69,14.71,0,298876,199948,439647,true,false
MT,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,1041732,19,777,,,,108,1.7,0,4.55,1,131,0,0,2.78,2,119,3.6,0.66,7.2,0,160,0.7,0,2.51,1,223,1.9,0.4,3.93,0,383,1.3,0.38,2.49,0,13543,3959,25939,false,true
NC,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,10155624,246,4.1,1.72,6.93,0,246,3.4,1.27,6.11,0,245,6.1,3.2,9.98,0,245,1.3,0.25,3.12,1,390,3.2,1.24,5.68,0,592,4.3,2.33,6.43,0,982,3.8,2.33,5.29,0,385914,236626,537233,true,true
ND,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,752201,6,777,,,,63,777,,,,39,777,,,,26,777,,,,45,777,,,,90,1.3,0,2.99,1,135,0.6,0,1.45,1,4513,0,10907,false,true
NE,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,1904760,68,777,,,,348,10,6.45,13.73,0,323,4.5,2.44,6.93,0,247,2.9,0.93,5.54,0,513,8.6,4.8,13.19,0,477,7.2,4.46,10.44,0,990,7.9,5.51,10.61,0,150476,104952,202095,true,false
NH,"Aug 13 - Aug 25, 2020",2,Statewide,Statewide,1343622,35,777,,,,394,0.8,0,1.64,0,394,1.3,0.23,2.42,0,302,1,0,2.29,0,476,0.9,0.23,1.7,0,649,0.6,0.1,1.3,0,1125,0.8,0.3,1.22,0,10749,4031,16392,false,false
NJ,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8881845,209,16.9,11.31,21.99,0,313,14.2,10.3,18.5,0,291,7.3,4.33,10.26,0,314,6.7,3.93,10.08,0,460,11,7.88,14.46,0,667,13.4,10.59,16.23,0,1127,12.2,10.15,14.53,0,1083585,901507,1290532,true,false
NM,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,2092434,178,4.1,0.98,8.07,0,264,2.2,0.55,4.28,0,268,2.7,0.94,5.16,0,265,0.8,0,2,1,372,2.2,0.5,4.15,0,604,2.8,1.39,4.47,0,976,2.5,1.47,3.79,0,52311,30759,79303,true,true
NV,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,2922849,244,9.7,5.94,13.45,0,245,7.8,4.68,11.11,0,244,8,4.71,11.44,0,239,5.4,2.8,8.7,0,420,8.9,5.93,12.39,0,552,7,4.83,9.36,0,972,7.9,6.13,9.83,0,230905,179171,287316,true,false
NY,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,19618453,270,25.2,19.71,30.91,0,283,22.2,17.52,27.19,0,292,16.8,12.74,21.44,0,277,14.6,10.95,18.43,0,449,20.6,16.69,24.78,0,673,20.5,17.21,24.14,0,1122,20.6,18.04,23.14,0,4041401,3539169,4539710,true,false
OH,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,11641879,103,2.5,0,6.35,1,287,2,0.43,4.09,0,306,2.6,0.89,4.67,0,289,1,0,2.58,1,403,1.7,0.37,3.5,0,582,2.4,1.04,4.22,0,985,2.1,1.06,3.29,0,244479,123404,383018,true,true
OK,"Aug 10 - Aug 18, 2020",2,Statewide,Statewide,3918137,245,6.9,3.69,10.78,0,245,3.4,1.34,6.08,0,245,1.7,0.29,3.73,1,244,3.8,1.23,6.57,0,382,3.5,1.5,5.76,0,597,4.6,2.85,6.79,0,979,4,2.72,5.51,0,156725,106573,215889,true,true
OR,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,4081943,100,2,0,5.11,1,373,2.9,1.35,4.99,0,357,1.7,0.4,3.31,0,256,2.1,0.42,4.4,0,459,1.5,0.42,2.85,0,627,3.2,1.53,5.18,0,1086,2.4,1.41,3.6,0,97967,57555,146950,true,true
PA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,12791181,13,777,,,,561,15.7,12.87,18.78,0,151,9.5,4.73,14.73,0,162,2.1,0,4.87,1,518,15.5,10.51,22.76,0,369,4.8,2.84,7.24,0,887,10.1,7.53,13.74,0,1291909,963176,1757508,true,true
PR,"Aug 10 - Aug 17, 2020",2,Statewide,Statewide,3386941,247,1,0,2.45,1,246,0.9,0,2.49,1,246,3.2,1.06,5.93,0,247,5,1.25,10.63,1,375,1.6,0.38,3.31,0,611,2.6,1.11,4.54,0,986,2.2,1.18,3.26,0,74513,39966,110414,true,true
RI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1056611,33,777,,,,207,1.7,0,3.72,0,189,3.3,0.78,6.51,0,141,2.5,0,5.72,1,270,3.5,0.82,6.73,0,300,3.8,0.84,7.53,0,570,3.6,1.69,5.89,0,38038,17857,62234,true,true
SC,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,4955925,173,5.3,2.13,8.95,0,305,7,4.01,10.42,0,310,6,3.21,9.42,0,275,4.6,1.93,8.1,0,446,7.3,4.49,10.3,0,617,4.8,3.03,7.01,0,1063,6,4.37,7.95,0,297356,216574,393996,true,false
SD,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,864289,1,777,,,,40,777,,,,22,777,,,,20,777,,,,70,777,,,,13,777,,,,83,0,0,4.35,2,0,0,37597,false,false
TN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6651089,278,6.8,3.77,10.13,0,252,9.1,5.76,13.41,0,250,5.1,2.39,8.67,0,249,2.1,0.45,4.29,1,456,7.3,4.64,10.26,0,573,6.1,3.79,8.67,0,1029,6.7,5.11,8.57,0,445623,339871,569998,true,true
TX,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,27885195,250,8.7,5.17,12.89,0,251,6.4,3.31,10.14,0,250,5.3,2.39,9.23,0,250,3.7,1.47,6.51,0,466,6.1,3.36,9.23,0,535,6.9,4.52,9.76,0,1001,6.5,4.69,8.47,0,1812538,1307816,2361876,true,false
UT,"Aug 15 - Aug 25, 2020",2,Statewide,Statewide,3045350,43,777,,,,333,6.2,3.37,9.22,0,249,3.3,1.07,5.51,0,246,1.4,0,3.12,0,370,7,2.57,12.61,0,501,3.9,2.06,6.09,0,871,5.5,2.94,8.71,0,167494,89533,265250,true,false
VA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8413774,30,777,,,,507,3.3,1.96,5.06,0,337,2.9,0.83,5.32,0,369,1.1,0.16,2.37,0,391,1.1,0.21,2.31,0,852,8.1,3.99,12.57,0,1243,4.7,2.51,7.22,0,395447,211186,607474,true,false
VT,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,624977,8,777,,,,163,0,0,2.24,2,79,0.8,0,3.03,1,132,0.5,0,1.79,1,145,0,0,2.51,2,237,0.5,0,1.6,1,382,0.3,0,0.81,1,1875,0,5062,false,true
WA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,7294336,121,4.7,1.06,9.44,0,473,3.4,1.67,5.79,0,358,1.6,0.22,3.58,1,286,1.2,0.13,2.77,1,514,3.7,1.55,6.46,0,724,2.4,1.06,3.95,0,1238,3,1.79,4.47,0,218830,130569,326057,true,true
WI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,5778394,103,1.4,0,3.84,1,274,4.3,1.92,7.18,0,287,3.8,1.5,6.22,0,168,2.2,0,5.29,1,379,2.1,0.74,3.74,0,459,4.5,2.26,6.81,0,838,3.3,2.03,4.72,0,190687,117301,272740,true,true
WV,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,1829054,30,777,,,,238,1.2,0.23,2.74,1,213,0.8,0,2.73,1,155,1.1,0,3.14,1,227,2.5,0.22,7.73,1,410,1.9,0.3,4.49,1,637,2.2,0.52,4.9,1,40239,9511,89624,true,true
WY,"Aug 13 - Aug 24, 2020",2,Statewide,Statewide,581836,4,777,,,,41,777,,,,23,777,,,,18,777,,,,51,777,,,,35,777,,,,86,0.8,0,3.11,1,4655,0,18095,false,true
AK,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,738516,23,777,,,,184,1.6,0,3.78,1,189,1.4,0,3.3,1,213,0.5,0,1.86,1,238,1,0,3.19,1,372,1.1,0.14,2.5,1,610,1,0.24,2.17,1,7385,1772,16026,false,true
AL,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4864680,66,777,,,,250,11.6,7.67,16.19,0,254,7,3.59,10.48,0,385,3.4,1.64,5.6,0,417,7.7,4.19,12.18,0,538,11.9,8.24,16.73,0,955,9.9,7.19,12.79,0,481603,349770,622193,true,false
AR,"Aug 24 -  Sep 8, 2020",3,Statewide,Statewide,2990671,165,7.8,3.61,11.73,0,334,3.6,1.69,5.91,0,247,4.3,1.72,7.34,0,237,5.1,2.23,8.24,0,392,4.3,2.36,6.62,0,600,5.6,3.54,7.74,0,992,4.9,3.5,6.41,0,146543,104673,191702,true,false
AZ,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6946685,29,777,,,,755,9.3,5.9,13.18,0,179,5.4,0.57,13.06,1,67,777,,,,83,3.9,0.7,8.35,0,947,5.8,4.39,7.56,0,1030,4.9,3.05,7.11,0,340388,211874,493909,false,true
CA,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,39148760,245,7.6,3.88,11.43,0,247,6.3,3.2,9.78,0,245,4.5,1.97,7.77,0,246,4,1.56,7.38,0,446,6,3.6,9.1,0,537,6,3.79,8.83,0,983,6,4.2,7.82,0,2348926,1644248,3061433,true,false
CO,"Aug 24 -  Sep 4, 2020",3,Statewide,Statewide,5531141,249,4,1.83,6.38,0,259,3.6,1.24,6.44,0,261,3.1,1.09,5.24,0,256,3.4,1.08,5.82,0,459,4.4,2.14,7.06,0,566,2.8,1.52,4.25,0,1025,3.6,2.31,5.09,0,199121,127769,281535,true,false
CT,"Aug 26 -  Sep 4, 2020",3,Statewide,Statewide,3581504,245,6.9,3.91,10.32,0,246,5.1,2.68,7.98,0,245,2.6,0.67,5.1,0,247,1.4,0,3.08,0,398,4.6,2.53,6.63,0,585,4.1,2.33,5.9,0,983,4.3,2.9,5.69,0,154005,103864,203788,true,false
DC,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,684498,25,777,,,,256,5.7,2.64,9.24,0,152,4.9,1.52,9.31,0,210,3.3,0.94,6.48,0,288,5.7,2.47,10.11,0,355,4.3,1.98,7.19,0,643,5,2.83,7.55,0,34225,19371,51680,true,false
DE,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,949495,45,777,,,,243,5.3,2.73,8.69,0,264,2.9,0.8,5.42,0,362,1.1,0.23,2.28,0,386,3.9,1.13,7.88,0,528,5,2.29,8.77,0,914,4.5,2.42,7.12,0,42727,22978,67604,true,false
FL,"Aug 27 -  Sep 9, 2020",3,Statewide,Statewide,20598139,245,3.8,1.11,6.51,0,246,9.3,5.38,13.53,0,245,5.1,2.22,8.97,0,245,0.7,0,1.87,1,377,6,3.12,9.09,0,604,5.3,3.37,7.7,0,981,5.7,3.93,7.49,0,1174094,809507,1542801,true,true
GA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,10297484,254,13.4,8.84,18.51,0,248,6.8,3.83,10.6,0,258,9.3,5.3,13.99,0,260,5.5,2.58,9.08,0,443,8.2,5.51,11.58,0,577,9.2,6.52,12.51,0,1020,8.7,6.69,11.14,0,895881,688902,1147140,true,false
HI,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,1422029,3,777,,,,4,777,,,,1,777,,,,4,777,,,,5,777,,,,7,777,,,,12,777,,,,,,,false,
IA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,3132499,52,777,,,,366,9.8,6.72,12.99,0,338,8.7,5.66,12.16,0,250,3.5,1.2,6.02,0,501,7.6,4.68,11,0,505,9.3,5.93,12.85,0,1006,8.4,6.15,10.74,0,263130,192649,336430,true,false
ID,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1687809,17,777,,,,198,7,3.23,12.14,0,242,4.4,1.56,8.13,0,333,3.4,0.88,6.9,0,306,8,2.67,15.94,0,484,3.4,1.86,5.61,0,790,5.7,2.9,9.7,0,96205,48946,163717,true,false
IL,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,12821497,245,9.6,5.89,13.41,0,244,3.1,1.28,5.33,0,244,6.7,1.86,14.3,0,246,4.9,2.3,7.94,0,410,5,3.04,7.34,0,569,6.1,3.5,9.83,0,979,5.6,3.9,7.67,0,718004,500038,983409,true,false
IN,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6637426,17,777,,,,542,3.8,1.81,5.97,0,220,3,0.63,6.29,0,205,1.7,0.16,3.93,1,233,2,0.36,4.09,0,751,2.8,1.47,4.46,0,984,2.4,1.36,3.52,0,159298,90269,233637,false,true
KS,"Aug 24 -  Sep 3, 2020",3,Statewide,Statewide,2908776,243,1.9,0.57,3.62,0,257,3.4,0.92,6.49,0,265,3.9,1.51,6.77,0,259,1.9,0.29,4.68,0,470,1.9,0.61,3.44,0,555,3.9,1.9,6.39,0,1025,2.9,1.57,4.31,0,84355,45668,125368,true,false
KY,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4440204,202,2.3,0.45,4.5,0,257,3.5,1.4,5.84,0,263,4,1.52,6.54,0,261,2,0.3,3.95,0,446,2.6,1.03,4.48,0,537,3.5,1.97,5.23,0,983,3.1,1.91,4.33,0,137646,84808,192261,true,false
LA,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4663616,208,8.3,4.25,14.5,0,266,9.9,6.04,14.73,0,265,7.9,4.55,12.36,0,262,6.5,3.35,11,0,404,6.3,3.49,9.56,0,597,10.8,7.4,15.35,0,1001,8.6,6.65,11.3,0,401071,310130,526989,true,false
MA,"Aug 27 -  Sep 5, 2020",3,Statewide,Statewide,6830193,244,5.3,2.09,8.98,0,248,2.1,0.39,4.58,0,245,7,3.46,10.67,0,244,1.3,0,3.19,1,420,4.5,2.28,6.98,0,561,2.8,1.39,4.66,0,981,3.6,2.36,5.08,0,245887,161193,346974,true,true
MD,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,6003435,76,15.6,7.84,24.49,0,304,6.2,3.54,9.16,0,317,7.7,4.7,11.14,0,283,1.4,0,3.31,1,394,9.9,6.23,14.31,0,586,6,3.52,9,0,980,7.9,5.72,10.35,0,474271,343396,621356,true,true
ME,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1332813,24,777,,,,293,0.3,0,1.19,1,213,3.2,1.05,6.49,0,229,0.3,0,1.36,1,304,1.5,0.43,2.78,0,455,1.6,0,4.96,1,759,1.5,0.44,3.22,0,19992,5864,42917,true,true
MI,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,9957488,243,5.2,2.25,8.28,0,244,3.3,1.09,6.51,0,244,2.9,1,5.36,0,245,1.9,0.34,3.81,0,408,3.6,1.57,5.86,0,568,3.2,1.74,4.89,0,976,3.4,2.16,4.95,0,338555,215082,492896,true,false
MN,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,5527358,174,4.7,0.51,11.63,1,272,11.8,7.88,17.03,0,264,10.6,5.42,17.43,0,262,7.4,3.71,12.79,0,430,6.9,4.05,10.79,0,544,11.5,7.97,15.79,0,974,9.2,6.71,11.95,0,508517,370886,660519,true,true
MO,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,6090062,248,5.8,3.02,8.96,0,256,2.7,0.85,5.12,0,264,2,0.33,3.86,0,252,0.6,0,1.7,1,466,2.3,0.79,3.95,0,558,3.5,1.88,5.22,0,1024,2.9,1.74,4.17,0,176612,105967,253956,true,true
MS,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,2988762,24,777,,,,320,9.9,5.73,14.11,0,320,4,1.7,7.26,0,323,6.4,2.79,11.09,0,383,4.8,2.17,8.23,0,604,11.8,5.49,20,0,987,8.4,4.89,12.73,0,251056,146150,380469,true,false
MT,"Aug 24 -  Sep 9, 2020",3,Statewide,Statewide,1041732,22,777,,,,182,1.2,0,2.93,1,146,0.4,0,1.42,1,168,2.2,0,5.1,0,192,1,0,2.33,1,326,0.9,0,1.97,0,518,0.9,0.23,1.82,0,9376,2396,18960,false,true
NC,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,10155624,242,6.5,3.2,9.94,0,240,2.9,0.96,5.52,0,250,3.1,0.98,5.53,0,250,3,0.91,5.74,0,403,2.8,1.31,4.65,0,579,4.7,2.57,7.26,0,982,3.8,2.33,5.26,0,385914,236626,534186,true,false
ND,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,752201,5,777,,,,43,777,,,,29,777,,,,28,777,,,,28,777,,,,81,0.5,0,2.04,1,109,0.2,0,0.99,1,1504,0,7447,false,true
NE,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,1904760,90,9.8,4.14,15.92,0,305,6.2,3.48,9.55,0,297,5.6,3.26,8.54,0,246,1.6,0.29,3.08,0,492,5.1,2.85,7.73,0,446,7.4,4.26,10.72,0,938,6.3,4.47,8.27,0,120000,85143,157524,true,false
NH,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,1343622,37,777,,,,387,1.8,0.59,3.33,0,463,1.2,0.38,2.27,0,260,1,0,2.22,1,500,1.6,0.19,3.9,1,647,1.7,0.76,2.86,0,1147,1.6,0.73,2.84,0,21498,9808,38159,true,true
NJ,"Aug 26 -  Sep 7, 2020",3,Statewide,Statewide,8881845,195,17.4,12.23,22.94,0,277,12.2,8.35,16.66,0,245,14.5,9.89,19.19,0,227,5.4,2.34,9.1,0,374,11.6,8.27,15.28,0,570,14,10.83,17.51,0,944,12.8,10.49,15.35,0,1136876,931706,1363363,true,false
NM,"Aug 25 -  Sep 8, 2020",3,Statewide,Statewide,2092434,153,2,0,4.97,1,276,5.8,3,9.35,0,277,2.5,0.88,4.59,0,279,2.3,0.5,5.09,1,406,3.2,1.11,6.06,0,579,4.1,2.27,6.36,0,985,3.7,2.28,5.55,0,77420,47707,116130,true,true
