county_res,cdph_county_res
Alameda,Alameda
Alpine,Central Sierra
Amador,Central Sierra
Butte,Northern Sacramento Valley
Calaveras,Central Sierra
Colusa,Northern Sacramento Valley
Contra Costa,Contra Costa
Del Norte,Northern California
El Dorado,Greater Sacramento
Fresno,Fresno
Glenn,Northern Sacramento Valley
Humboldt,Northern California
Imperial,Imperial
Inyo,Central Sierra
Kern,Kern
Kings,San Joaquin Valley
Lake,Northern California
Lassen,Northern California
Los Angeles,Los Angeles
Madera,San Joaquin Valley
Marin,Marin
Mariposa,Central Sierra
Mendocino,Northern California
Merced,Merced
Modoc,Northern California
Mono,Central Sierra
Monterey,Monterey
Napa,Napa_Sonoma
Nevada,Northern California
Orange,Orange
Placer,Placer
Plumas,Northern California
Riverside,Riverside
Sacramento,Sacramento
San Benito,SantaCruz_SanBenito
San Bernardino,San Bernardino
San Diego,San Diego
San Francisco,San Francisco
San Joaquin,San Joaquin
San Luis Obispo,San Luis Obispo
San Mateo,San Mateo
Santa Barbara,Santa Barbara
Santa Clara,Santa Clara
Santa Cruz,SantaCruz_SanBenito
Shasta,Northern Sacramento Valley
Sierra,Northern California
Siskiyou,Northern California
Solano,Solano
Sonoma,Napa_Sonoma
Stanislaus,Stanislaus
Sutter,Greater Sacramento
Tehama,Northern Sacramento Valley
Trinity,Northern California
Tulare,Tulare
Tuolumne,Central Sierra
Ventura,Ventura
Yolo,Greater Sacramento
Yuba,Greater Sacramento
,UNASSIGNED